#{"t_start": 1760874101.67724, "env_id": "None"}
r,l,t
4.641522,102,18.691159
4.187868,105,18.731951
5.19222,142,18.78592
4.331141,102,18.824918
3.997907,101,18.863346
4.131176,93,18.899732
4.936471,145,18.954349
4.908832,108,18.995588
5.280062,142,19.050648
3.507707,99,19.090906
4.85007,111,19.13453
2.530181,69,19.160794
5.580325,147,19.21837
4.104938,92,20.081581
5.218063,142,20.135337
5.272478,154,20.193895
4.875024,140,20.247404
-0.410508,33,20.260557
4.558224,103,20.301058
5.401004,154,20.358332
3.355435,98,20.394872
-0.32325,40,20.411416
5.619632,149,20.473241
-0.809183,33,20.488605
4.679903,112,20.53949
4.282313,106,20.592712
4.987466,162,20.665312
5.750203,147,20.723981
-1.046482,24,20.735604
5.201818,143,20.79309
3.176215,78,20.827049
4.897232,108,20.869596
5.37836,155,21.834035
4.851387,126,21.880432
4.849446,110,21.922042
5.513573,149,21.980831
5.397539,150,22.040274
5.638516,150,22.101559
5.185767,147,22.157767
5.419956,149,22.214311
5.445964,153,22.272838
5.13816,112,22.316594
4.962256,150,22.373016
5.231864,150,22.430787
5.63432,151,22.487003
-0.449616,32,22.499365
5.330699,149,22.558507
5.281566,119,23.549719
3.731178,85,23.581714
6.065066,154,23.640418
5.526257,146,23.695172
-1.009195,29,23.706937
5.533219,156,23.767218
4.938923,115,23.813888
5.923551,155,23.884633
4.737235,100,23.927969
5.137593,121,23.97819
3.417625,108,24.020991
4.924743,110,24.065627
4.617425,104,24.109285
5.876604,155,24.171844
4.156958,97,24.207992
5.254494,144,24.264765
5.074989,114,24.314237
4.359719,101,24.354908
5.064125,113,25.227116
6.146107,157,25.286526
5.025977,153,25.345045
3.749588,106,25.387251
6.111183,162,25.449614
4.936709,109,25.492699
5.461828,166,25.555486
5.534442,129,25.606588
3.487228,102,25.653362
4.091507,112,25.703789
5.735097,132,25.757394
6.093599,164,25.818094
6.075402,174,25.882898
5.129521,168,25.94521
3.418997,122,25.990708
4.066694,117,26.870766
4.981827,118,26.916326
5.667233,126,26.963625
6.355822,165,27.027124
5.988209,163,27.091012
3.573034,104,27.135494
5.372404,121,27.185171
5.586271,166,27.264015
-0.539784,34,27.280147
6.165496,163,27.350537
3.94247,123,27.408679
-0.756634,38,27.428885
5.342737,118,27.480206
5.312369,145,27.536179
5.859186,164,27.59908
5.750215,164,27.663564
4.878591,134,28.717528
5.881208,136,28.771312
6.029934,132,28.825003
4.062328,116,28.872275
5.43002,119,28.917144
4.996111,141,28.972478
6.037046,155,29.032055
3.686359,106,29.07237
5.738437,130,29.122267
5.805432,164,29.187856
6.570767,146,29.247045
6.191506,165,29.31132
5.705676,155,29.371045
3.553978,107,29.413186
5.706553,161,29.475878
6.325812,145,30.575837
5.777976,172,30.646328
3.796611,115,30.706522
5.358585,120,30.758322
4.681489,184,30.83246
-1.014027,29,30.845156
5.815061,138,30.898935
6.348252,166,30.962231
4.740757,181,31.032185
5.174475,134,31.091033
6.682238,186,31.163842
4.676985,188,31.23651
5.346027,132,31.288316
6.006845,160,31.350802
6.599823,174,32.207469
6.278993,169,32.274584
-0.150608,39,32.291258
4.72772,141,32.34392
5.371627,114,32.386585
3.809067,105,32.427693
5.154113,157,32.488
5.826071,175,32.553561
5.394072,118,32.599233
6.823923,179,32.664777
6.657,178,32.732548
5.559842,120,32.776404
6.39407,184,32.84417
6.164054,139,32.896637
3.195216,105,33.738832
6.614003,178,33.808817
3.920724,103,33.848107
3.551535,118,33.894348
3.907217,116,33.941421
6.363123,168,34.008469
5.288024,176,34.0796
5.810032,125,34.134109
3.34868,101,34.176677
6.18245,171,34.245481
-0.754303,30,34.25901
6.255267,138,34.311961
6.368466,143,34.366411
-0.782467,29,34.378344
6.398027,144,34.433008
6.448447,152,34.492903
-0.28979,35,34.507503
5.275775,118,35.374482
6.578629,172,35.440758
6.228204,137,35.494242
-0.169235,38,35.511294
6.690346,187,35.585542
5.278801,123,35.632893
5.670768,128,35.684112
7.03572,194,35.759348
6.097399,149,35.814716
4.369829,121,35.861583
6.724596,186,35.929921
6.519762,171,35.993954
-1.016056,24,36.003823
5.678326,167,36.067007
6.032604,135,36.116051
-0.625347,32,36.129306
7.258254,187,37.042141
-0.492869,31,37.054957
-0.708129,31,37.070128
7.283064,193,37.144212
-0.304249,39,37.159474
4.611721,125,37.207683
7.139022,188,37.280274
5.69122,186,37.354521
6.006865,176,37.421013
6.403976,226,37.508814
-0.004461,41,37.525878
6.266149,211,37.607491
6.603331,149,37.663067
-0.796313,37,37.677392
4.535437,123,37.725862
5.393063,139,37.77885
5.908287,138,38.614715
6.139129,149,38.674
6.520977,193,38.746297
6.351891,194,38.817702
6.351615,141,38.87115
6.808398,194,38.942039
6.008015,132,38.991418
6.457541,185,39.06227
4.405552,122,39.109221
4.791601,200,39.184551
5.510426,129,39.235414
4.76578,129,39.283503
-0.548757,34,39.298134
-0.397456,39,39.314029
6.511078,183,40.17517
7.103192,194,40.251438
7.141001,193,40.323964
4.584854,158,40.384611
6.676837,175,40.484914
6.807762,178,40.55435
7.281201,186,40.629309
4.02721,121,40.678931
6.062008,133,40.732936
6.247231,143,40.79231
6.478838,193,40.873196
6.646419,201,40.953101
6.145029,142,41.855232
-0.016157,45,41.872765
7.125101,183,41.940598
7.090511,188,42.011537
6.558704,165,42.072905
5.982907,145,42.126271
6.634636,191,42.197437
6.205565,143,42.253124
3.936753,110,42.296536
6.064553,147,42.352676
6.054427,144,42.410026
6.160933,150,42.468932
-0.196244,38,42.483689
5.25359,147,42.539642
6.263001,137,42.589634
6.535997,173,43.450213
6.982418,183,43.522421
-1.104665,23,43.532534
6.255464,197,43.611268
7.593674,199,43.68498
5.634423,165,43.74872
6.877435,196,43.824285
4.121272,116,43.868274
7.261574,189,43.94069
4.746983,194,44.016536
7.274112,191,44.091831
6.284845,193,44.166852
6.539799,176,45.020656
6.836508,175,45.087509
6.689995,146,45.143974
7.057079,192,45.218376
5.794742,137,45.270508
0.304907,52,45.292187
7.090477,184,45.362661
6.363877,178,45.430251
5.524469,154,45.490955
-0.511391,32,45.505191
4.455351,119,45.550145
7.072271,186,45.622206
-0.717118,35,45.637666
7.118628,185,45.71287
6.978401,180,46.594796
3.798079,105,46.636999
6.355125,139,46.693395
5.7731,126,46.743001
4.8291,127,46.791672
4.335601,141,46.845158
5.811798,135,46.907588
6.813499,174,46.981121
0.233406,46,46.999429
-0.225273,37,47.014158
6.733918,180,47.084781
5.947124,126,47.132401
6.937873,173,47.197301
5.889405,126,47.246068
6.87143,172,47.313772
6.970719,180,47.38589
7.073956,178,48.314247
6.133351,131,48.365231
0.006458,41,48.381711
4.612973,123,48.428059
6.461625,143,48.486399
6.342312,139,48.541154
6.913085,184,48.609908
6.249565,139,48.66295
7.008142,179,48.736183
6.202794,151,48.794915
5.677792,123,48.844055
7.52586,194,48.918223
5.841028,181,48.988439
6.954996,181,49.057188
-0.466395,36,49.879349
6.312815,174,49.947026
4.425473,124,49.996279
7.027744,180,50.063354
4.203329,114,50.106461
6.419951,143,50.16067
6.206585,179,50.228122
6.257681,179,50.296125
6.476758,153,50.35501
4.019581,124,50.40373
-0.719278,31,50.41578
6.989738,177,50.481375
6.280421,173,50.547287
-0.394798,37,50.561965
6.674535,186,50.633264
6.825239,179,51.546283
7.338249,190,51.617294
7.141315,182,51.684268
4.39629,124,51.733456
6.539181,190,51.808192
7.571329,195,51.885246
7.027754,181,51.953811
7.163319,177,52.021173
-0.337861,40,52.038436
6.236265,137,52.09571
7.129608,193,52.167073
6.203247,139,52.219959
4.431009,126,52.267105
6.483683,173,53.128998
6.945706,185,53.19744
6.946268,191,53.269677
6.179284,180,53.336131
4.57788,137,53.387295
6.071916,169,53.454411
3.732366,109,53.496807
6.250503,177,53.562833
-0.890444,27,53.574444
6.401716,169,53.63967
6.62661,174,53.704837
6.966838,189,53.777699
4.601624,128,53.828345
-0.354888,35,53.842771
6.824274,190,54.752419
6.886322,186,54.820741
6.198335,178,54.888713
7.162459,177,54.958521
4.16848,124,55.007424
7.172087,197,55.083284
6.81515,187,55.152669
6.506822,179,55.219747
7.072143,193,55.293207
6.469007,151,55.351176
-0.247678,36,55.367713
6.247161,188,55.440461
7.714642,194,56.315562
6.626492,179,56.382353
7.003075,195,56.458595
6.995758,176,56.525944
5.964404,176,56.594434
7.362635,190,56.666862
6.670416,193,56.738845
6.873617,192,56.812447
6.285985,181,56.879827
6.58236,187,56.949344
6.500887,184,57.019788
-0.130248,40,57.036151
6.453259,194,57.998526
7.144025,198,58.072537
7.293154,194,58.14812
6.634718,182,58.217128
-0.529535,39,58.232233
6.823606,185,58.302671
6.71958,180,58.373025
6.847122,186,58.442712
7.93454,206,58.518987
7.345918,196,58.595342
7.123123,189,58.669155
7.566709,199,59.552306
6.803423,188,59.621601
1.015123,47,59.64053
7.343263,207,59.715662
6.607414,189,59.785552
7.42406,202,59.859704
7.494064,221,59.943213
6.62167,216,60.023244
7.098015,197,60.094927
4.771946,147,60.150194
7.001345,194,60.222411
7.147789,204,60.296076
5.504046,171,61.220834
4.650385,150,61.280593
7.409347,229,61.36588
6.664109,207,61.443814
8.249196,228,61.526074
7.646866,212,61.603658
6.280668,188,61.67242
1.341192,56,61.694534
6.884363,205,61.77122
-0.219967,39,61.787058
7.412408,203,61.864444
7.286954,223,62.763521
5.089582,150,62.820276
7.335831,210,62.898013
7.293662,205,62.976699
6.751584,207,63.055743
6.778163,202,63.131274
5.237331,171,63.193995
-0.245246,42,63.210458
5.754698,212,63.288882
4.454345,129,63.358146
7.295802,216,63.44566
5.651441,166,63.51135
7.017036,187,64.49651
6.999826,210,64.572261
8.011882,218,64.651278
7.105076,215,64.729463
7.563922,216,64.807678
7.538968,208,64.884059
7.475441,216,64.964257
3.912721,124,65.010142
7.088819,215,65.102933
1.288877,54,65.123188
7.227263,200,65.199564
-0.098522,44,65.217387
7.700481,221,66.128394
7.510972,204,66.206116
7.392545,203,66.282609
7.455109,201,66.358787
6.951348,212,66.445466
1.444793,57,66.468528
7.746405,222,66.549906
-0.261637,37,66.565081
5.154382,159,66.625497
7.652167,213,66.703634
7.739605,209,66.780299
7.478236,213,67.709268
8.016446,236,67.796099
7.910079,216,67.883024
0.423299,53,67.907442
6.387767,222,67.995796
1.437439,66,68.023007
4.725127,150,68.080323
