#{"t_start": 1760784164.8878198, "env_id": "None"}
r,l,t
-0.9,1,15.255224
-0.9,1,15.330162
0.325311,2,15.376847
0.407609,2,15.454418
-0.9,1,15.498453
-0.9,1,15.573549
-0.9,1,15.62012
-0.9,1,15.698908
3.582741,3,15.744917
0.392633,2,15.821329
-0.9,1,15.865837
-0.9,1,15.942421
-0.9,1,15.9867
-0.9,1,16.067226
3.587835,3,16.115058
-0.899303,1,16.196568
-0.9,1,16.242128
-0.9,1,16.349722
-0.9,1,16.401285
1.565297,3,16.48044
-0.870959,1,16.524944
-0.9,1,16.598567
-0.9,1,16.642715
-0.9,1,16.72042
0.294565,2,16.76725
-0.815497,1,16.843815
-0.9,1,16.890589
-0.9,1,16.971903
-0.9,1,17.016623
0.293164,2,17.093051
0.404192,2,17.140783
-0.9,1,17.219405
-0.9,1,17.263237
-0.9,1,17.341181
0.3,2,17.38953
-0.814536,1,17.463987
-0.9,1,17.509089
-0.9,1,17.586146
-0.9,1,17.630726
-0.9,1,17.707814
0.289538,2,17.75323
-0.820793,1,17.829197
-0.896955,1,17.875229
-0.9,1,17.955335
-0.9,1,17.998602
-0.9,1,18.080099
0.267109,2,18.129724
-0.835247,1,18.211373
-0.9,1,18.256481
-0.9,1,18.331379
-0.9,1,18.37871
-0.9,1,18.458588
0.3,2,18.504765
-0.853395,1,18.582312
-0.9,1,18.629649
-0.9,1,18.708453
-0.9,1,18.751632
-0.9,1,18.825622
-0.9,1,18.869822
0.358489,2,18.94415
-0.9,1,18.987418
-0.9,1,19.061045
-0.9,1,19.106194
1.524147,3,19.192002
-0.9,1,19.235906
-0.9,1,19.310694
-0.9,1,19.357597
-0.9,1,19.433943
-0.9,1,19.476411
0.36677,2,19.55193
-0.9,1,19.595988
-0.9,1,19.671257
-0.9,1,19.717021
-0.9,1,19.79614
1.470568,3,19.84508
-0.9,1,19.920257
-0.9,1,19.964126
-0.9,1,20.04048
-0.9,1,20.085254
-0.9,1,20.160576
-0.9,1,20.203131
0.355692,2,20.277023
-0.9,1,20.320735
-0.9,1,20.394625
-0.9,1,20.43689
3.494857,3,20.512665
-0.9,1,20.557226
-0.9,1,20.632413
-0.9,1,20.676125
-0.9,1,20.758327
3.482305,3,20.80673
-0.9,1,20.882017
-0.9,1,20.927264
-0.9,1,21.00594
-0.9,1,21.052607
-0.9,1,21.129147
0.332862,2,21.175024
-0.9,1,21.252913
-0.9,1,21.296393
-0.9,1,21.379123
0.272768,2,21.426955
-0.883149,1,21.511071
-0.9,1,21.560141
-0.9,1,21.642618
-0.9,1,21.689135
-0.9,1,21.775029
-0.9,1,21.821993
-0.884812,1,21.902044
0.319563,2,21.94703
-0.9,1,22.024749
-0.9,1,22.070314
-0.9,1,22.144055
3.890097,5,22.192045
-0.9,1,22.278818
-0.9,1,22.334745
-0.9,1,22.412025
-0.9,1,22.455206
0.310168,2,22.529434
-0.9,1,22.574336
-0.9,1,22.64846
-0.9,1,22.691545
0.3,2,22.771136
-0.9,1,22.815204
-0.9,1,22.891413
-0.9,1,22.934461
-0.9,1,23.010901
-0.9,1,23.058649
-0.9,1,23.137445
-0.9,1,23.180909
2.3,2,23.259832
-0.9,1,23.305051
-0.9,1,23.380937
-0.9,1,23.424993
0.293596,2,23.506047
-0.9,1,23.550424
-0.9,1,23.627218
-0.9,1,23.670891
-0.9,1,23.750036
-0.9,1,23.794885
-0.9,1,23.870429
-0.9,1,23.913172
-0.9,1,23.987485
-0.9,1,24.032022
-0.9,1,24.108166
-0.9,1,24.15222
-0.9,1,24.227971
0.3,2,24.273026
-0.9,1,24.347723
-0.9,1,24.392762
-0.9,1,24.466594
-0.9,1,24.511344
-0.9,1,24.590648
0.3,2,24.636411
0.3,2,24.713786
-0.9,1,24.760895
-0.9,1,24.836934
-0.9,1,24.880678
0.3,2,24.957108
-0.9,1,25.00296
-0.9,1,25.079266
-0.9,1,25.124526
-0.9,1,25.204501
-0.9,1,25.252523
0.2982,2,25.330443
0.3,2,25.377374
-0.9,1,25.455672
-0.9,1,25.501734
-0.9,1,25.5779
-0.9,1,25.621022
0.3,2,25.695059
-0.9,1,25.739253
-0.9,1,25.814745
-0.9,1,25.85854
-0.9,1,25.93613
-0.9,1,25.980974
-0.9,1,26.059741
-0.9,1,26.103904
-0.9,1,26.178253
-0.9,1,26.223761
-0.9,1,26.297764
-0.9,1,26.34105
0.291735,2,26.42292
-0.9,1,26.467616
-0.9,1,26.542845
-0.9,1,26.586341
-0.9,1,26.660908
-0.9,1,26.705485
0.3,2,26.781698
-0.9,1,26.825558
-0.9,1,26.901342
-0.9,1,26.945624
-0.9,1,27.021692
-0.9,1,27.06658
0.3,2,27.143968
-0.9,1,27.189665
-0.9,1,27.264457
-0.9,1,27.305954
-0.9,1,27.380274
-0.9,1,27.42519
-0.9,1,27.499158
1.48165,3,27.545171
-0.9,1,27.622082
-0.9,1,27.666532
-0.9,1,27.742929
0.3,2,27.790564
-0.9,1,27.863668
-0.9,1,27.908368
-0.9,1,27.987981
-0.9,1,28.030208
-0.9,1,28.112583
0.291886,2,28.160684
-0.9,1,28.239195
-0.9,1,28.284286
-0.9,1,28.365349
-0.9,1,28.41282
-0.9,1,28.493162
2.239461,2,28.540135
0.285418,2,28.620684
-0.9,1,28.668829
-0.9,1,28.753639
-0.9,1,28.802236
-0.9,1,28.9053
0.289447,2,28.958006
-0.9,1,29.046605
-0.9,1,29.09216
-0.9,1,29.173097
-0.9,1,29.221452
-0.9,1,29.29994
-0.9,1,29.344086
-0.9,1,29.421718
-0.9,1,29.468452
-0.9,1,29.546325
-0.9,1,29.593826
-0.9,1,29.678253
-0.9,1,29.728105
-0.9,1,29.808889
-0.9,1,29.853568
-0.9,1,29.933633
-0.9,1,29.979751
-0.9,1,30.056847
-0.9,1,30.101422
-0.9,1,30.178068
-0.9,1,30.227656
-0.9,1,30.309016
-0.9,1,30.359601
-0.9,1,30.443902
-0.9,1,30.495624
-0.9,1,30.584738
-0.9,1,30.635646
-0.9,1,30.733621
0.3,2,30.789495
-0.9,1,30.871124
-0.9,1,30.919593
-0.9,1,30.997877
-0.9,1,31.043072
-0.9,1,31.129431
0.272965,2,31.179146
-0.9,1,31.25424
-0.9,1,31.305526
-0.9,1,31.386332
-0.9,1,31.430374
-0.9,1,31.508997
-0.9,1,31.553953
-0.9,1,31.636598
-0.9,1,31.67928
-0.9,1,31.754372
-0.9,1,31.800973
-0.9,1,31.879765
-0.9,1,31.922522
-0.9,1,31.999672
-0.9,1,32.044588
-0.9,1,32.143376
-0.9,1,32.192113
-0.9,1,32.277086
-0.9,1,32.321703
-0.9,1,32.400946
-0.9,1,32.444892
0.3,2,32.524443
-0.9,1,32.571724
-0.9,1,32.65056
-0.9,1,32.69411
-0.9,1,32.772849
-0.9,1,32.821116
-0.9,1,32.896258
0.3,2,32.941123
-0.9,1,33.02134
-0.9,1,33.067906
-0.9,1,33.143838
-0.9,1,33.190446
0.3,2,33.27311
-0.9,1,33.321396
-0.9,1,33.403087
-0.9,1,33.44534
-0.9,1,33.522649
-0.9,1,33.568653
0.29207,2,33.646636
-0.9,1,33.691474
-0.9,1,33.769664
-0.9,1,33.815413
-0.9,1,33.891112
-0.9,1,33.934155
-0.9,1,34.008127
-0.9,1,34.05317
-0.9,1,34.126569
-0.9,1,34.169021
-0.9,1,34.244967
-0.9,1,34.289061
-0.9,1,34.362243
-0.9,1,34.406317
-0.9,1,34.482024
-0.9,1,34.52611
-0.9,1,34.6038
-0.9,1,34.646868
-0.9,1,34.720926
-0.9,1,34.764427
-0.9,1,34.840036
0.3,2,34.88427
-0.9,1,34.958731
-0.9,1,35.002445
-0.9,1,35.078037
-0.9,1,35.121097
-0.9,1,35.195565
0.294324,2,35.245658
-0.9,1,35.323066
-0.9,1,35.365855
-0.9,1,35.439985
-0.9,1,35.484535
-0.9,1,35.558436
0.276054,2,35.603236
-0.9,1,35.681759
-0.9,1,35.727977
-0.9,1,35.80916
-0.9,1,35.855004
-0.9,1,35.93218
-0.9,1,35.979069
0.3,2,36.057781
-0.9,1,36.104941
-0.9,1,36.187675
-0.9,1,36.235373
-0.9,1,36.316688
-0.9,1,36.36304
0.296414,2,36.448921
-0.9,1,36.494453
-0.9,1,36.57109
-0.9,1,36.614306
-0.9,1,36.690023
-0.9,1,36.734358
-0.9,1,36.815828
-0.9,1,36.860746
-0.9,1,36.945369
-0.9,1,36.991898
-0.9,1,37.069144
-0.9,1,37.120938
-0.9,1,37.216972
0.3,2,37.263164
