#{"t_start": 1760777147.9701302, "env_id": "None"}
r,l,t
-2.461803,3,2.933808
9.35,15,2.939867
8.038197,13,2.944836
-0.608114,5,2.947004
1.35,7,2.950137
16.391886,22,2.958146
19.929289,24,2.96703
13.548944,19,2.97389
5.788197,11,2.97814
-2.65,3,2.979542
39.74075,46,2.996294
18.538197,23,3.005028
7.329289,12,3.00954
24.05,29,3.020617
4.597627,10,3.024724
1.738197,7,3.02769
3.391886,9,3.031666
11.05,16,3.03861
15.479289,20,3.04614
20.088197,25,3.055603
-0.608114,5,3.057719
6.629289,11,3.061901
-0.3,5,3.065135
-1.608114,4,3.067251
11.718861,17,3.073955
1.838197,7,3.076897
-0.261803,5,3.079101
17.381567,23,3.087873
1.391886,7,3.090945
40.4,43,3.106794
36.872492,39,3.120843
-3.608114,2,3.121918
13.138197,18,3.128789
6.35,12,3.133698
29.741886,34,3.145915
-0.65,5,3.147992
15.5,20,3.156142
29.678292,35,3.168813
-3.608114,2,3.169965
56.262706,60,3.191342
15.229289,19,3.198788
12.429289,17,3.205943
12.454592,18,3.212559
1.35,7,3.215369
0.788197,6,3.21804
39.327208,40,3.776605
-0.361803,5,3.778633
50.146264,56,3.798007
17.488197,22,3.806291
4.35,10,3.810543
32.2,36,3.824144
24.391886,30,3.835012
10.838197,16,3.840874
42.145736,49,3.857686
14.391886,20,3.864958
36.026393,39,3.878752
20.229289,24,3.887508
25.924602,31,3.899108
30.1,35,3.911514
-0.608114,5,3.913549
6.718861,12,3.918402
74.15,77,3.94484
18.93008,24,3.953799
53.15,55,3.973878
12.35,18,3.980541
-3.608114,2,3.981553
9.391886,15,3.98818
46.776393,50,4.008077
14.391886,20,4.015542
23.838197,28,4.02718
-1.472383,4,4.028927
0.391886,6,4.031412
10.391886,16,4.037471
46.449874,49,4.056248
15.35,21,4.063951
12.293705,18,4.071546
55.038197,59,4.092239
-3.608114,2,4.093353
14.35,20,4.101312
9.138197,14,4.106726
5.888197,11,4.11084
89.50429,91,4.645314
1.391886,7,4.648246
-0.608114,5,4.650945
48.43535,54,4.670935
-0.65,5,4.673162
28.1,32,4.685301
13.511389,19,4.693084
15.405909,21,4.701638
37.638197,42,4.717522
32.038197,37,4.731606
20.44307,26,4.741962
0.391886,6,4.744596
24.35,30,4.756544
-2.65,3,4.757948
-2.461803,3,4.759456
35.838197,40,4.77458
25.391886,31,4.786642
1.503275,7,4.789762
5.391886,11,4.79426
12.391886,18,4.80136
-3.608114,2,4.802368
27.838197,32,4.814487
-2.608114,3,4.81611
-2.65,3,4.817845
22.391886,28,4.828406
5.506336,11,4.833606
0.391886,6,4.836395
52.688197,53,4.856218
15.484033,21,4.86423
17.391886,23,4.872709
-1.65,4,4.874562
42.35,48,4.892228
3.35,9,4.895875
5.391886,11,4.900105
19.451577,25,4.910224
13.476059,19,4.917769
15.391886,21,4.925875
2.391886,8,4.929194
10.6,14,4.935111
13.35,19,4.942959
2.35,8,4.946741
-3.608114,2,4.94797
6.565172,12,4.953003
23.662064,29,4.963372
5.478934,11,4.968225
14.536614,20,4.975943
0.35,6,4.9783
-2.608114,3,4.979661
35.676975,41,4.994728
51.405909,57,5.015607
7.35,13,5.021005
20.038197,25,5.030291
-0.261803,5,5.032963
1.391886,7,5.036111
15.391886,21,5.044272
35.338197,39,5.618441
58.35,64,5.643287
4.391886,10,5.647814
89.288197,88,5.68289
15.0,20,5.692269
37.088197,41,5.708643
58.402894,64,5.733887
13.391886,19,5.741986
43.621969,49,5.760713
66.267232,72,5.785873
46.338197,50,5.803185
11.548944,17,5.809799
8.35,14,5.815464
-0.65,5,5.818182
145.814063,155,5.871706
16.391886,22,5.879922
83.628671,90,5.912158
50.038197,53,5.931991
41.391886,47,5.949521
10.391886,16,5.955442
4.35,10,5.959351
26.422136,32,5.971544
-0.608114,5,5.973666
5.35,11,5.978185
23.446478,29,5.989103
20.35,26,6.511966
23.391886,29,6.522483
3.35,9,6.526152
134.464698,141,6.576585
17.391886,23,6.585154
119.504401,126,6.629837
16.391886,22,6.638395
5.35,11,6.642741
-1.608114,4,6.644427
108.49101,115,6.684841
42.115888,48,6.702585
80.3,81,6.73033
2.35,8,6.733981
33.288197,38,6.747394
6.391886,12,6.752484
3.35,9,6.756234
74.391886,80,6.784076
39.129289,41,6.79854
7.35,13,6.80451
0.35,6,6.807209
205.85,200,7.417283
19.605741,25,7.427045
197.493382,200,7.498064
111.515251,119,7.541123
56.300428,62,7.562556
58.259859,64,7.585704
125.699845,136,7.634275
108.329289,106,7.672129
52.929289,54,7.691793
45.35,51,7.710755
58.391886,64,7.733706
21.391886,27,7.743699
-1.65,4,7.745385
34.391886,40,7.759569
51.130037,57,7.780894
71.186834,77,8.348206
5.35,11,8.352465
24.43025,30,8.363143
26.299731,32,8.374836
75.029289,79,8.403329
99.291886,104,8.440415
200.438197,193,8.507359
61.391886,67,8.531165
50.391886,56,8.551904
45.1,46,8.569125
25.69452,31,8.580179
77.570606,83,8.609989
205.95,200,8.681596
2.391886,8,8.68512
11.391886,17,9.382328
32.9,38,9.39659
45.491886,50,9.415031
202.15,200,9.483462
201.0,200,9.551631
54.988197,60,9.573156
11.35,17,9.579567
115.35,121,9.619353
93.024556,99,9.655401
0.391886,6,9.658168
129.129442,135,9.70715
154.888197,156,10.467798
25.35,31,10.478953
57.1,60,10.499497
1.391886,7,10.502445
0.391886,6,10.504895
199.604839,200,10.570772
60.024556,66,10.593803
43.35,49,10.610781
94.188197,97,10.643959
213.75,200,10.711133
19.391886,25,10.720305
126.203663,132,10.764708
198.923273,200,11.415679
126.391886,132,11.460352
96.141886,98,11.493455
203.6,200,11.562829
59.391886,65,11.586353
75.35,81,11.613952
20.35,26,11.623542
87.538197,89,11.655612
190.799112,191,11.720487
200.421495,200,12.687104
200.55,200,12.754724
