#{"t_start": 1760777453.242622, "env_id": "None"}
r,l,t
-1.65,4,6.613562
1.709632,7,6.630251
16.527967,22,6.679972
-1.608114,4,6.692575
4.391886,10,6.712926
2.079289,7,6.728586
23.560534,26,6.789418
2.391886,8,6.809945
21.460878,27,6.87492
12.661615,18,6.917166
0.35,6,6.932836
4.35,10,6.955873
0.129289,5,6.967267
22.32196,28,7.025487
-1.608114,4,7.033608
0.621969,6,7.047848
0.391886,6,7.061554
-1.261803,4,7.070587
2.788197,8,7.087307
9.888197,14,7.118891
-1.261803,4,7.12678
4.838197,10,7.146528
12.710534,16,7.179875
-1.411803,4,7.190781
9.188197,14,7.221579
1.738197,7,7.237407
2.709632,8,7.256102
21.0,25,7.31
0.688197,6,7.323137
-1.608114,4,7.330946
12.247627,17,7.368941
6.589513,12,7.402799
36.147532,41,7.527277
0.391886,6,7.543775
-0.386145,5,7.557264
3.891886,9,7.584246
3.429289,8,7.604712
37.031266,41,7.706743
6.221194,9,7.730355
2.923022,8,7.752528
-1.608114,4,7.762743
20.472666,23,7.814929
-3.608114,2,7.820243
-1.608114,4,7.830918
19.777865,23,7.883233
-1.608114,4,7.892158
0.788197,6,7.905283
4.391886,10,7.932809
2.838197,8,7.953942
-2.461803,3,7.961835
0.35,6,7.978057
-2.608114,3,7.988808
33.06511,35,8.075402
-3.608114,2,8.079698
2.35,8,8.097273
4.536614,10,8.121345
8.345059,11,8.144097
-3.608114,2,8.148243
5.6,10,8.171163
-3.608114,2,8.177469
12.15,15,8.208803
-0.020711,5,8.219182
-3.608114,2,8.223811
1.738197,7,8.240635
-2.608114,3,8.246573
-0.608114,5,8.256683
0.391886,6,8.268794
25.888483,30,8.329948
0.391886,6,8.342941
3.35,9,8.363182
0.35,6,8.377098
8.759431,14,8.408731
26.0,29,8.469112
14.338197,19,8.508515
0.029289,5,8.518842
1.788197,7,8.535468
-2.65,3,8.541996
14.35,20,8.582625
40.520178,45,8.67595
18.139975,22,8.725528
-1.608114,4,8.734816
7.129289,12,8.759086
14.365076,17,8.793113
0.35,6,8.807278
4.279289,9,8.825146
33.676975,39,8.905615
20.670178,26,8.957848
-1.608114,4,8.968884
9.728707,15,9.00155
4.888197,10,9.023796
8.767544,14,9.054226
2.35,8,9.07513
0.029289,5,9.090404
-0.65,5,9.104906
6.15,11,9.135988
9.091886,14,9.172049
24.795592,30,9.24679
5.429289,10,9.27049
15.426393,18,9.312247
24.851472,28,9.373801
-2.608114,3,9.379814
-1.608114,4,9.389312
14.414023,20,9.433418
0.391886,6,9.448821
0.391886,6,9.461756
2.079289,7,9.477101
2.649077,8,9.494653
-0.65,5,9.507586
-2.65,3,9.513934
74.050147,76,9.674789
8.995458,12,9.700655
3.581399,9,9.722813
-1.608114,4,9.731238
-3.608114,2,9.735814
-2.608114,3,9.742676
0.605741,6,9.758378
2.657724,8,9.775725
3.35,9,9.795384
-3.608114,2,9.799625
-3.608114,2,9.807384
7.479289,12,9.833994
4.529289,9,9.854558
7.769199,13,9.887764
23.490109,29,9.95562
9.54083,15,9.986969
2.35,8,10.003781
0.613855,6,10.016705
28.665076,33,10.099793
7.890567,13,10.128669
-1.608114,4,10.139627
3.988197,9,10.161587
-2.461803,3,10.172107
30.490734,35,10.251782
4.597627,10,10.276033
0.788197,6,10.29131
10.479289,15,10.330632
17.1,19,10.375141
4.013604,7,10.390809
2.589513,8,10.407828
1.675212,7,10.424649
3.838197,9,10.443651
-0.261803,5,10.454392
15.279289,19,10.492803
-2.461803,3,10.500688
-1.608114,4,10.509212
0.838197,6,10.521692
10.941886,16,10.553375
4.478934,10,10.575469
0.129289,5,10.587059
-0.65,5,10.597366
8.391886,14,10.626353
-0.65,5,10.639553
-2.461803,3,10.646108
17.39904,23,10.696706
11.088197,16,10.730181
15.016157,20,10.775451
-0.608114,5,10.789086
1.8,7,10.806128
4.738197,10,10.829184
1.621969,7,10.848909
0.35,6,10.86401
-2.65,3,10.872526
4.938197,10,10.900468
-0.378031,5,10.919534
8.699477,14,10.9626
23.288197,27,11.03627
4.429289,9,11.059322
-3.608114,2,11.066734
2.788197,8,11.088088
1.9,7,11.107204
12.379289,17,11.148788
-1.65,4,11.161806
-1.65,4,11.171207
7.588739,13,11.200089
14.454592,20,11.249341
0.391886,6,11.266872
-2.65,3,11.275103
1.888197,7,11.293236
7.35,13,11.325134
31.271098,37,11.418983
0.64961,6,11.433144
-1.411803,4,11.443062
4.5285,10,11.468472
-3.608114,2,11.475471
7.15,12,11.504909
25.714239,31,11.576618
5.888197,11,11.60383
24.799874,29,11.670268
17.3,21,11.714554
9.738197,14,11.746021
4.511389,10,11.766785
14.85,18,11.808302
7.495161,13,11.838232
8.35,14,11.871967
5.391886,11,11.899896
-3.608114,2,11.907441
1.129289,6,11.922851
9.391886,15,11.95667
30.429289,33,12.031358
-3.608114,2,12.03879
2.35,8,12.057119
16.299477,20,12.10186
-0.608114,5,12.112875
27.260457,29,12.176565
2.229289,7,12.193184
-3.608114,2,12.197715
4.279289,9,12.216468
9.041886,14,12.247412
-1.608114,4,12.25683
2.35,8,12.273595
30.721167,34,12.349172
2.35,8,12.371683
5.597627,11,12.397207
0.688197,6,12.41153
-1.411803,4,12.421865
10.735089,16,12.460624
21.252944,24,12.51553
4.589513,10,12.538552
21.681623,25,12.599165
0.688197,6,12.614409
54.02333,59,12.746217
-0.608114,5,12.757193
-3.608114,2,12.763136
6.35,12,12.793785
-2.461803,3,12.800907
0.391886,6,12.814445
11.603105,17,12.852385
6.038197,11,12.878212
-1.65,4,12.887197
-2.461803,3,12.894479
0.627447,6,12.908821
3.35,9,12.931177
-2.608114,3,12.937991
8.038197,13,12.965761
-1.65,4,12.974248
3.391886,9,12.995339
4.743203,10,13.018034
24.737432,30,13.0793
-3.608114,2,13.083413
23.41898,25,13.138198
14.288197,19,13.177754
2.788197,8,13.193548
15.391886,21,13.234671
5.1,8,13.25316
9.234504,12,13.278506
4.788197,10,13.299176
1.788197,7,13.313265
17.240812,21,13.359991
-3.608114,2,13.364004
10.391886,16,13.396496
0.35,6,13.409322
-2.65,3,13.417984
15.25,18,13.454708
-3.608114,2,13.458753
-1.472383,4,13.467045
8.779289,13,13.495822
6.988197,12,13.520633
5.788197,11,13.543777
0.391886,6,13.556699
1.35,7,13.573443
15.085891,17,13.614387
16.1,18,13.657707
-3.608114,2,13.662947
19.741886,25,13.723249
4.988197,10,13.744915
3.589513,9,13.763473
3.768675,9,13.783679
8.391886,14,13.818925
3.511389,9,13.839137
7.779289,12,13.864565
2.35,8,13.88203
3.759431,9,13.903842
-2.608114,3,13.909942
23.129289,26,13.964759
-2.461803,3,13.97197
-3.608114,2,13.978433
-1.608114,4,13.987585
-2.65,3,13.994087
28.420178,33,14.061147
-3.608114,2,14.067792
30.68025,35,14.140914
4.888197,10,14.164077
-1.378031,4,14.174192
15.340186,18,14.222074
-2.461803,3,14.230774
12.238197,17,14.27582
3.329289,8,14.296698
6.35,12,14.330164
24.577093,27,14.401992
17.739418,23,14.455986
4.511389,10,14.480062
6.529289,11,14.506277
12.347627,17,14.544289
4.391886,10,14.568175
12.626393,16,14.602532
0.391886,6,14.617348
-1.378031,4,14.626075
-0.480497,5,14.63706
8.641496,14,14.66761
-3.608114,2,14.674701
11.829289,16,14.713763
1.738197,7,14.729001
1.391886,7,14.745826
6.788197,12,14.777449
-2.608114,3,14.784678
2.35,8,14.804039
0.391886,6,14.818384
10.35,16,14.856864
7.75,12,14.881427
-0.211803,5,14.892366
-2.65,3,14.898321
13.079289,17,14.938074
-0.65,5,14.949574
24.348944,29,15.013332
-2.608114,3,15.020451
-1.378031,4,15.032067
5.988197,11,15.057032
22.614023,27,15.11707
14.69452,20,15.162905
-3.608114,2,15.169893
6.485891,9,15.190554
6.038197,11,15.215232
7.35,13,15.243394
0.35,6,15.258275
1.391886,7,15.273387
7.611219,13,15.299954
-3.608114,2,15.304513
-1.65,4,15.315749
3.988197,9,15.336495
1.738197,7,15.351075
1.029289,6,15.363757
-0.26009,5,15.376241
1.729231,7,15.392878
-3.608114,2,15.397155
1.391886,7,15.412519
18.1,22,15.461076
0.35,6,15.475312
-1.65,4,15.483574
17.731796,23,15.534951
8.503275,14,15.567893
5.391886,11,15.594932
6.119503,11,15.618279
2.391886,8,15.637074
1.391886,7,15.655505
10.521194,13,15.684698
3.729231,9,15.706413
-2.65,3,15.713281
4.519503,10,15.738311
23.755689,29,15.801165
8.038197,13,15.83163
22.557058,28,15.89771
11.437134,17,15.942936
4.329289,9,15.965833
4.35,10,15.991712
-0.608114,5,16.003672
-1.65,4,16.016531
-0.261803,5,16.030405
28.479289,32,16.102977
-1.65,4,16.111788
5.938197,11,16.146111
1.35,7,16.179502
-0.211803,5,16.194197
3.8,9,16.222353
-1.65,4,16.234836
-2.65,3,16.242313
-2.461803,3,16.250106
-0.65,5,16.263254
8.35,14,16.300025
3.379289,8,16.318811
22.9,27,16.381695
-1.65,4,16.392057
-3.608114,2,16.399541
-2.608114,3,16.407544
0.688197,6,16.42267
-2.65,3,16.429523
-0.65,5,16.443511
11.391886,17,16.484249
25.524602,31,16.568814
-1.65,4,16.57889
10.497689,16,16.621139
9.141886,14,16.650921
3.145458,6,16.663514
5.988197,11,16.68779
-3.608114,2,16.694329
0.391886,6,16.708339
-0.361803,5,16.72192
-2.461803,3,16.731036
5.379289,10,16.762615
-2.608114,3,16.772446
-3.608114,2,16.778974
6.229289,11,16.810149
2.9,8,16.835387
-0.211803,5,16.847828
31.829559,33,16.932466
7.846239,13,16.962574
-1.608114,4,16.97498
1.35,7,16.992408
4.741886,10,17.019373
3.726393,7,17.038885
19.983326,22,17.095708
6.391886,12,17.125887
-3.608114,2,17.130518
2.391886,8,17.147902
-0.608114,5,17.161125
24.032822,27,17.221791
-1.411803,4,17.230854
14.55,17,17.268394
3.35,9,17.290031
24.018106,26,17.345786
46.041574,52,17.46991
7.738197,12,17.49871
-2.65,3,17.510248
1.759431,7,17.527486
52.281614,55,17.679653
11.726975,17,17.724603
3.738197,9,17.749026
-1.65,4,17.759398
0.35,6,17.77489
-1.608114,4,17.786178
-0.65,5,17.80158
1.35,7,17.81842
13.288197,18,17.86038
10.588522,16,17.895339
36.715076,40,17.991516
-3.608114,2,17.996298
4.429289,9,18.018127
4.429289,9,18.041678
0.391886,6,18.059599
36.1,39,18.186033
8.788197,14,18.220852
2.329289,7,18.237656
3.279289,8,18.260227
-2.65,3,18.268556
-2.65,3,18.27664
9.589513,15,18.311072
4.751317,10,18.337259
-1.608114,4,18.348567
-2.65,3,18.356749
7.888197,13,18.389395
-0.65,5,18.403737
12.388197,17,18.446789
5.529289,10,18.472959
1.35,7,18.491189
1.75,7,18.511028
-2.461803,3,18.519329
1.229289,6,18.534516
-3.608114,2,18.539226
0.788197,6,18.555053
2.589513,8,18.573837
7.35,13,18.603522
0.391886,6,18.617145
-3.608114,2,18.624069
13.973286,19,18.671277
8.129289,13,18.703509
10.2,15,18.740018
-0.608114,5,18.753793
-1.411803,4,18.763594
4.495161,10,18.788319
2.621969,8,18.808796
11.176393,14,18.846725
-0.480497,5,18.85971
8.35,14,18.893407
-1.608114,4,18.903629
3.35,9,18.927351
34.02868,36,19.013432
6.557058,12,19.040376
22.097627,27,19.101674
10.2,15,19.137113
-0.65,5,19.147371
22.069503,26,19.206432
10.779289,15,19.238868
-0.608114,5,19.252128
-0.65,5,19.262871
-2.65,3,19.270212
12.593492,18,19.313134
1.738197,7,19.332155
9.638197,14,19.367128
20.05,24,19.421378
4.391886,10,19.443094
10.888197,16,19.480495
5.527617,11,19.505528
-1.608114,4,19.514333
29.798678,35,19.59728
4.35,10,19.62343
9.788197,14,19.658452
2.391886,8,19.67746
-1.261803,4,19.688058
7.35,13,19.721679
-2.461803,3,19.728856
0.35,6,19.742483
7.454592,13,19.771933
7.589513,13,19.803673
16.431133,22,19.854774
-1.070711,4,19.8646
6.620671,12,19.893652
1.838197,7,19.91308
1.511389,7,19.931928
-2.461803,3,19.93972
1.738197,7,19.956667
-0.65,5,19.97121
-2.461803,3,19.978797
0.35,6,19.995895
20.365339,26,20.059679
12.238197,17,20.102653
34.491227,40,20.189767
-3.608114,2,20.195052
4.391886,10,20.217223
15.709632,21,20.264386
0.788197,6,20.277426
18.97868,22,20.321826
-3.608114,2,20.325793
3.627447,9,20.346736
1.35,7,20.36164
5.529289,10,20.389138
0.838197,6,20.404077
11.661634,17,20.446497
16.1,20,20.49299
23.535483,29,20.554899
-2.608114,3,20.561254
15.279289,19,20.603598
-2.608114,3,20.609384
18.65395,24,20.657786
12.66432,18,20.694616
5.938197,11,20.720257
4.503275,10,20.7406
4.35,10,20.761292
-3.608114,2,20.765773
1.35,7,20.783111
4.906794,10,20.804322
7.35,13,20.836989
18.138197,22,20.894478
2.738197,8,20.919444
13.838197,19,20.970658
26.95,29,21.047496
26.126393,28,21.115686
15.011389,20,21.163527
6.35,12,21.194504
-1.411803,4,21.205433
-2.608114,3,21.214031
3.391886,9,21.239877
7.429289,12,21.269263
5.47082,11,21.293888
-2.608114,3,21.301134
-3.608114,2,21.307634
-3.608114,2,21.312087
-1.378031,4,21.321271
5.379289,10,21.343075
-2.608114,3,21.351703
17.326393,20,21.39855
16.521194,19,21.443462
13.775219,19,21.486197
8.35,14,21.522101
-3.608114,2,21.529526
14.1,18,21.590856
0.838197,6,21.615041
-2.65,3,21.628736
14.751317,20,21.689121
1.029289,6,21.704446
17.64452,23,21.763211
4.179289,9,21.787712
1.838197,7,21.805118
10.641496,16,21.845423
34.4,39,21.938465
-3.608114,2,21.945023
-1.608114,4,21.954426
-1.411803,4,21.963746
31.35,36,22.049351
-0.65,5,22.063555
-0.361803,5,22.075506
4.35,10,22.097918
1.35,7,22.11707
5.938197,11,22.150804
19.879289,24,22.207814
16.991886,22,22.254373
35.780625,40,22.343892
-3.608114,2,22.352078
13.391886,19,22.395568
9.141886,14,22.426955
4.076393,7,22.44467
1.738197,7,22.462784
24.45,28,22.527606
-1.608114,4,22.537101
10.709431,16,22.574858
4.95,10,22.599726
6.722694,12,22.628445
10.788197,16,22.664078
11.759632,16,22.70518
15.487048,21,22.763014
4.621969,10,22.789595
7.95,13,22.822758
17.988197,23,22.876718
4.35,10,22.903828
10.876393,14,22.936774
0.621969,6,22.950026
12.5285,18,22.987828
-1.261803,4,23.000814
2.391886,8,23.023419
17.6,21,23.072861
5.657724,11,23.096418
8.495161,14,23.129364
-2.65,3,23.136724
12.241886,17,23.178743
27.129289,31,23.253145
6.051472,9,23.276706
13.998944,19,23.318427
12.695458,15,23.355544
19.35,25,23.418514
3.788197,9,23.442096
0.391886,6,23.458072
-3.608114,2,23.464624
0.838197,6,23.483531
16.579289,21,23.54194
6.35,12,23.579752
-1.070711,4,23.593298
-2.608114,3,23.603365
19.701119,24,23.673884
-2.608114,3,23.683541
10.618799,16,23.732105
27.341886,32,23.8269
-2.65,3,23.838536
5.179289,10,23.865767
16.07191,21,23.920346
2.391886,8,23.939121
15.177633,21,23.98535
7.506336,13,24.014406
5.565172,11,24.040389
-1.070711,4,24.050926
22.529289,26,24.120011
38.322673,44,24.223397
-3.608114,2,24.228716
-1.608114,4,24.241819
-1.608114,4,24.255014
-3.608114,2,24.260817
10.979289,15,24.303082
10.581399,16,24.349521
7.391886,13,24.389065
5.646899,11,24.420241
9.642494,12,24.453296
-0.65,5,24.466601
1.391886,7,24.487324
-1.411803,4,24.497199
4.558778,10,24.520365
-2.461803,3,24.528316
2.495161,8,24.549553
5.511389,11,24.573714
19.057414,24,24.623383
35.4,41,24.712369
0.35,6,24.7284
12.581399,18,24.767141
-2.608114,3,24.774401
-1.608114,4,24.7827
1.029289,6,24.796987
-1.608114,4,24.80582
-2.461803,3,24.811929
-0.608114,5,24.822523
-1.65,4,24.832803
4.429289,9,24.851762
-0.3,5,24.863468
15.35,21,24.912519
4.391886,10,24.941156
0.35,6,24.957124
11.838197,17,24.996536
-2.65,3,25.006033
-2.461803,3,25.015471
7.729289,12,25.045763
10.35,16,25.086222
1.738197,7,25.104012
3.988197,9,25.126849
3.738197,9,25.146106
-0.211803,5,25.15904
1.503275,7,25.17451
7.35,13,25.207328
-2.608114,3,25.214926
-3.608114,2,25.220822
5.657724,11,25.24575
5.391886,11,25.272785
2.391886,8,25.29115
19.499477,25,25.345473
13.028028,18,25.387216
-2.65,3,25.396305
6.708644,12,25.424852
10.406856,16,25.462133
2.229289,7,25.478056
6.988197,12,25.507419
1.35,7,25.523419
0.35,6,25.536507
-2.608114,3,25.543101
1.838197,7,25.561046
7.9,11,25.585087
15.938197,21,25.629888
24.426393,27,25.687314
-1.608114,4,25.697624
-0.65,5,25.709038
9.326393,13,25.738077
10.15,15,25.771354
1.391886,7,25.788173
14.5,17,25.824387
7.579289,12,25.84969
-2.65,3,25.856522
-3.608114,2,25.862718
-1.65,4,25.878497
22.888197,27,25.96253
10.091886,15,25.996392
7.283326,10,26.021303
-1.608114,4,26.030342
28.729289,31,26.107742
4.021969,9,26.13069
